"Name","Label","Type","Value","Value label"
"firstname","Förnamn","string",""
"lastname","Efternamn","string",""
"email","E-postadress","string",""
"emailstatus","E-poststatus","string",""
"language","Språkkod","string",""
"sent","Datum inbjudan skickades","string",""
"remindersent","Senaste datum för påminnelse","string",""
"remindercount","Antal skickade påminnelser","string",""
"usesleft","Användningar kvar","string",""
"id","id","integer",""
"submitdate","submitdate","date",""
"lastpage","lastpage","integer",""
"startlanguage","startlanguage","string",""
"seed","seed","string",""
"token","token","string",""
"startdate","startdate","date",""
"datestamp","datestamp","date",""
"slump1_1","","string",""
"slump1_2","","string",""
"slump1_3","","string",""
"slump1_4","","string",""
"rid","","string",""
"q0","Som tack för att du deltar i studien kan vi erbjuda dig en belöning efter registrering. Belöningen är en elektronisk trisslott (värde 30kr).  Vill du att vi skickar dig belöningen?  (du kommer att erbjudas ytterligare en trisslott om ca 6 månader so","integer","0","Nej tack! Jag avstår från belöningen den här gången."
"q0","Som tack för att du deltar i studien kan vi erbjuda dig en belöning efter registrering. Belöningen är en elektronisk trisslott (värde 30kr).  Vill du att vi skickar dig belöningen?  (du kommer att erbjudas ytterligare en trisslott om ca 6 månader so","integer","1","Ja tack! Jag vill gärna att ni skickar belöningen till mig efter att jag registrerat mig."
"q1","Hur intresserad är du i allmänhet av politik?","integer","1","Inte alls intresserad"
"q1","Hur intresserad är du i allmänhet av politik?","integer","2","Inte särskilt intresserad"
"q1","Hur intresserad är du i allmänhet av politik?","integer","3","Ganska intresserad"
"q1","Hur intresserad är du i allmänhet av politik?","integer","4","Mycket intresserad"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_1","[Ökad antibiotikaresistens] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_2","[Klimatförändringarna] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_3","[Utrotning av växt- och djurarter] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_4","[Global fattigdom och svält] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_5","[Internationell terrorism] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_6","[Organiserad brottslighet] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_7","[Stor arbetslöshet] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
